2025-09-07 22:16:18,695 | INFO | CART | ADD | 307 | /add/10 | 
2025-09-07 22:16:19,787 | INFO | PAYMENT | SUCCESS | 256 | /checkout | 
2025-09-07 22:16:20,510 | INFO | CART | ADD | 493 | /add/11 | 
2025-09-07 22:16:22,706 | INFO | CART | ADD | 822 | /add/3 | 
2025-09-07 22:16:23,938 | INFO | PAYMENT | FAILED | 113 | /checkout | Transaction declined
2025-09-07 22:16:26,915 | INFO | PAYMENT | SUCCESS | 373 | /checkout | 
2025-09-07 22:16:28,842 | INFO | PAYMENT | SUCCESS | 615 | /checkout | 
2025-09-07 22:16:31,418 | INFO | SECURITY | FAILED | 0 | /search | SQL Injection attempt id=' OR '1'='1
2025-09-07 22:16:33,994 | INFO | PAYMENT | FAILED | 978 | /checkout | Transaction declined
2025-09-07 22:16:36,338 | INFO | PAYMENT | SUCCESS | 15000 | /checkout | Suspicious high-value transaction
2025-09-07 22:16:36,869 | INFO | CART | ADD | 819 | /add/10 | 
2025-09-07 22:16:39,831 | INFO | PAYMENT | FAILED | 887 | /checkout | Transaction declined
2025-09-07 22:16:41,935 | INFO | PAYMENT | SUCCESS | 883 | /checkout | 
2025-09-07 22:16:44,805 | INFO | PAYMENT | SUCCESS | 496 | /checkout | 
2025-09-07 22:16:46,544 | INFO | PAYMENT | SUCCESS | 198 | /checkout | 
2025-09-07 22:16:48,424 | INFO | PAYMENT | SUCCESS | 272 | /checkout | 
2025-09-07 22:16:50,171 | INFO | SECURITY | FAILED | 0 | /login | FAILED LOGIN attempt user=admin
2025-09-07 22:16:52,648 | INFO | PAYMENT | SUCCESS | 509 | /checkout | 
2025-09-07 22:16:55,040 | INFO | PAYMENT | FAILED | 881 | /checkout | Transaction declined
2025-09-07 22:16:57,501 | INFO | PAYMENT | SUCCESS | 654 | /checkout | 
2025-09-07 22:16:58,603 | INFO | PAYMENT | FAILED | 78 | /checkout | Transaction declined
2025-09-07 22:16:59,199 | INFO | PAYMENT | SUCCESS | 586 | /checkout | 
2025-09-07 22:16:59,997 | INFO | PAYMENT | FAILED | 550 | /checkout | Transaction declined
2025-09-07 22:17:02,256 | INFO | CART | ADD | 868 | /add/9 | 
2025-09-07 22:17:04,712 | INFO | SECURITY | FAILED | 0 | /admin | Unauthorized access attempt
2025-09-07 22:17:07,151 | INFO | PAYMENT | SUCCESS | 78 | /checkout | 
2025-09-07 22:17:09,376 | INFO | PAYMENT | SUCCESS | 706 | /checkout | 
2025-09-07 22:17:12,364 | INFO | PAYMENT | FAILED | 655 | /checkout | Transaction declined
2025-09-07 22:17:13,611 | INFO | PAYMENT | SUCCESS | 237 | /checkout | 
2025-09-07 22:17:14,982 | INFO | PAYMENT | SUCCESS | 886 | /checkout | 
2025-09-07 22:17:17,368 | INFO | PAYMENT | FAILED | 621 | /checkout | Transaction declined
2025-09-07 22:17:19,087 | INFO | PAYMENT | SUCCESS | 559 | /checkout | 
2025-09-07 22:17:20,995 | INFO | PAYMENT | FAILED | 377 | /checkout | Transaction declined
2025-09-07 22:17:22,002 | INFO | PAYMENT | FAILED | 668 | /checkout | Transaction declined
2025-09-07 22:17:24,193 | INFO | PAYMENT | SUCCESS | 111 | /checkout | 
2025-09-07 22:17:25,103 | INFO | CART | ADD | 1000 | /add/1 | 
2025-09-07 22:17:26,206 | INFO | PAYMENT | SUCCESS | 240 | /checkout | 
2025-09-07 22:17:29,199 | INFO | PAYMENT | SUCCESS | 863 | /checkout | 
2025-09-07 22:17:29,703 | INFO | PAYMENT | SUCCESS | 1000 | /checkout | 
2025-09-07 22:17:30,656 | INFO | PAYMENT | FAILED | 750 | /checkout | Transaction declined
2025-09-07 22:17:31,229 | INFO | CART | ADD | 922 | /add/7 | 
2025-09-07 22:17:32,151 | INFO | PAYMENT | SUCCESS | 707 | /checkout | 
2025-09-07 22:17:34,028 | INFO | PAYMENT | SUCCESS | 710 | /checkout | 
2025-09-07 22:17:34,899 | INFO | CART | ADD | 500 | /add/2 | 
2025-09-07 22:17:35,408 | INFO | PAYMENT | SUCCESS | 403 | /checkout | 
2025-09-07 22:17:36,275 | INFO | PAYMENT | SUCCESS | 540 | /checkout | 
2025-09-07 22:17:37,549 | INFO | PAYMENT | SUCCESS | 377 | /checkout | 
2025-09-07 22:17:40,378 | INFO | PAYMENT | SUCCESS | 415 | /checkout | 
2025-09-07 22:17:42,356 | INFO | PAYMENT | FAILED | 527 | /checkout | Transaction declined
2025-09-07 22:17:44,029 | INFO | PAYMENT | FAILED | 994 | /checkout | Transaction declined
2025-09-07 22:17:44,925 | INFO | CART | ADD | 854 | /add/3 | 
2025-09-07 22:17:46,136 | INFO | CART | ADD | 506 | /add/9 | 
2025-09-07 22:17:46,919 | INFO | CART | ADD | 226 | /add/4 | 
2025-09-07 22:17:47,537 | INFO | PAYMENT | FAILED | 69 | /checkout | Transaction declined
2025-09-07 22:17:50,418 | INFO | PAYMENT | SUCCESS | 509 | /checkout | 
2025-09-07 22:17:51,699 | INFO | PAYMENT | SUCCESS | 523 | /checkout | 
2025-09-07 22:17:53,987 | INFO | PAYMENT | SUCCESS | 453 | /checkout | 
2025-09-07 22:17:55,540 | INFO | CART | ADD | 460 | /add/5 | 
2025-09-07 22:17:56,384 | INFO | SECURITY | FAILED | 0 | /search | SQL Injection attempt id=' OR '1'='1
2025-09-07 22:17:58,445 | INFO | PAYMENT | FAILED | 101 | /checkout | Transaction declined
2025-09-07 22:17:59,319 | INFO | PAYMENT | FAILED | 673 | /checkout | Transaction declined
2025-09-07 22:18:02,096 | INFO | PAYMENT | SUCCESS | 555 | /checkout | 
2025-09-07 22:18:04,673 | INFO | PAYMENT | SUCCESS | 927 | /checkout | 
2025-09-07 22:18:07,336 | INFO | PAYMENT | FAILED | 300 | /checkout | Transaction declined
2025-09-07 22:18:09,469 | INFO | CART | ADD | 405 | /add/8 | 
2025-09-07 22:18:11,802 | INFO | PAYMENT | SUCCESS | 832 | /checkout | 
2025-09-07 22:18:13,943 | INFO | CART | ADD | 853 | /add/9 | 
2025-09-07 22:18:16,441 | INFO | PAYMENT | FAILED | 236 | /checkout | Transaction declined
2025-09-07 22:18:19,323 | INFO | PAYMENT | FAILED | 847 | /checkout | Transaction declined
2025-09-07 22:18:21,775 | INFO | PAYMENT | SUCCESS | 340 | /checkout | 
2025-09-07 22:18:22,640 | INFO | PAYMENT | SUCCESS | 859 | /checkout | 
2025-09-07 22:18:24,348 | INFO | PAYMENT | SUCCESS | 977 | /checkout | 
2025-09-07 22:18:26,765 | INFO | PAYMENT | FAILED | 666 | /checkout | Transaction declined
2025-09-07 22:18:29,025 | INFO | PAYMENT | FAILED | 237 | /checkout | Transaction declined
2025-09-07 22:18:31,848 | INFO | PAYMENT | SUCCESS | 921 | /checkout | 
2025-09-07 22:18:32,624 | INFO | PAYMENT | SUCCESS | 980 | /checkout | 
2025-09-07 22:18:35,235 | INFO | PAYMENT | SUCCESS | 558 | /checkout | 
2025-09-07 22:18:38,091 | INFO | PAYMENT | SUCCESS | 173 | /checkout | 
2025-09-07 22:18:39,224 | INFO | PAYMENT | FAILED | 282 | /checkout | Transaction declined
2025-09-07 22:18:41,084 | INFO | PAYMENT | SUCCESS | 641 | /checkout | 
2025-09-07 22:18:43,953 | INFO | CART | ADD | 228 | /add/6 | 
2025-09-07 22:18:45,829 | INFO | PAYMENT | SUCCESS | 521 | /checkout | 
2025-09-07 22:18:46,515 | INFO | CART | ADD | 479 | /add/3 | 
2025-09-07 22:18:48,806 | INFO | PAYMENT | SUCCESS | 438 | /checkout | 
2025-09-07 22:18:49,559 | INFO | PAYMENT | SUCCESS | 963 | /checkout | 
2025-09-07 22:18:50,901 | INFO | PAYMENT | SUCCESS | 654 | /checkout | 
2025-09-07 22:18:51,867 | INFO | PAYMENT | FAILED | 500 | /checkout | Transaction declined
2025-09-07 22:18:54,843 | INFO | PAYMENT | SUCCESS | 729 | /checkout | 
2025-09-07 22:18:55,417 | INFO | CART | ADD | 370 | /add/7 | 
2025-09-07 22:18:56,556 | INFO | PAYMENT | SUCCESS | 308 | /checkout | 
